seller_id;seller_city;seller_state;total_itens;total_pedidos;atraso_pct;nota_media
f27e33c6d29b5138fa9967bcd445b6d5;sao paulo;SP;98;93;0.08163265306122448;4.091836734693878
ef506c96320abeedfb894c34db06f478;sao paulo;SP;333;316;0.08108108108108109;3.93030303030303
8581055ce74af1daba164fdbd55a40de;guarulhos;SP;432;379;0.08101851851851852;4.2645011600928076
391fc6631aebcf3004804e51b40bcf1e;ibitinga;SP;619;521;0.08077544426494346;3.970684039087948
7ddcbb64b5bc1ef36ca8c151f6ec77df;sao paulo;SP;335;325;0.08059701492537313;3.9728915662650603
729f06993dac8e860d4f02d7088ca48a;limeira;SP;113;94;0.07964601769911504;4.330357142857143
37515688008a7a40ac93e3b2e4ab203f;dracena;SP;239;227;0.0794979079497908;4.0928270042194095
cbd996ad3c1b7dc71fd0e5f5df9087e2;sao jose do rio preto;SP;189;160;0.07936507936507936;4.132596685082873
9646c3513289980f17226a2fc4720dbd;sao jose dos campos;SP;76;69;0.07894736842105263;4.342105263157895
16090f2ca825584b5a147ab24aa30c86;atibaia;SP;406;398;0.07881773399014778;4.07196029776675
9c0e69c7bf2619675bbadf47b43f655a;sao jose dos campos;SP;204;151;0.0784313725490196;4.064356435643564
058fd0aa2bfdb2274e05e1ae971dabb6;santo andre;SP;64;60;0.078125;4.375
715bbd5ba4e6b74cb0d2f29eb45058b0;serra negra;SP;64;62;0.078125;4.46875
1f50f920176fa81dab994f9023523100;sao jose do rio preto;SP;1935;1399;0.07803617571059432;3.9875454073689673
7681ef142fd2c19048da7430856b5588;guarulhos;SP;77;58;0.07792207792207792;4.173333333333333
8e8a7ce9f2f970dc00e2acf6f6e199f6;sao goncalo;RJ;65;63;0.07692307692307693;3.9846153846153847
04308b1ee57b6625f47df1d56f00eedf;bombinhas;SC;92;92;0.07608695652173914;3.9456521739130435
ce248b21cb2adc36282ede306b7660e5;jaragua do sul;SC;66;64;0.07575757575757576;4.257575757575758
6a8b085f816a1f75f92dbac6eb545f8f;bebedouro;SP;134;125;0.07462686567164178;4.164179104477612
624f4ece8da4aafb77699233d480f8ef;sao paulo;SP;54;52;0.07407407407407407;4.185185185185185
54a1852d1b8f10312c55e906355666ee;santa barbara d'oeste;SP;203;198;0.07389162561576355;4.371287128712871
f262cbc1c910c83959f849465454ddd3;sao paulo;SP;204;189;0.07352941176470588;4.1182266009852215
213b25e6f54661939f11710a6fddb871;salto;SP;191;152;0.07329842931937172;3.8297872340425534
e59aa562b9f8076dd550fcddf0e73491;curitiba;PR;82;69;0.07317073170731707;4.329268292682927
17e34d8224d27a541263c4c64b11a56b;riberao preto;SP;260;247;0.07307692307692308;4.2015503875969
e24fc9fcd865784fb25705606fe3dfe7;braganca paulista;SP;55;51;0.07272727272727272;4.181818181818182
a420f60ff1aa9acc80d0e42959f2b313;sao paulo;SP;69;67;0.07246376811594203;3.925373134328358
7040e82f899a04d1b434b795a43b4617;sao paulo;SP;223;208;0.07174887892376682;3.5863636363636364
e5a38146df062edaf55c38afa99e42dc;sao paulo;SP;126;120;0.07142857142857142;3.976
6860153b69cc696d5dcfe1cdaaafcf62;capivari;SP;84;74;0.07142857142857142;4.156626506024097
c9c7905cffc4ef9ff9f113554423e671;itapecerica da serra;SP;140;127;0.07142857142857142;4.164285714285715
70c27847eca8195c983ed7e798c56743;rio de janeiro;RJ;98;77;0.07142857142857142;4.204081632653061
ef0ace09169ac090589d85746e3e036f;sao goncalo;RJ;140;128;0.07142857142857142;4.364285714285714
c826c40d7b19f62a09e2d7c5e7295ee2;guarulhos;SP;365;346;0.07123287671232877;4.09065934065934
66922902710d126a0e7d26b0e3805106;belo horizonte;MG;155;150;0.07096774193548387;4.474025974025974
d673a59aac7a70d8b01e6902bf090a11;ibitinga;SP;85;79;0.07058823529411765;3.976470588235294
c8b0e2b0a7095e5d8219575d5e7e1181;itaquaquecetuba;SP;85;84;0.07058823529411765;4.0476190476190474
f214d28e8d8e3ef068748498ccc2f813;sao paulo;SP;57;52;0.07017543859649122;4.125
7142540dd4c91e2237acb7e911c4eba2;penapolis;SP;330;316;0.0696969696969697;4.060975609756097
004c9cd9d87a3c30c522c48c4fc07416;ibitinga;SP;174;156;0.06896551724137931;4.145348837209302
edb1ef5e36e0c8cd84eb3c9b003e486d;teresopolis;RJ;174;165;0.06896551724137931;4.454022988505747
f7ccf836d21b2fb1de37564105216cc1;ibitinga;SP;73;69;0.0684931506849315;3.859154929577465
48436dade18ac8b2bce089ec2a041202;volta redonda;SP;147;134;0.06802721088435375;4.129251700680272
dc4a0fc896dc34b0d5bfec8438291c80;ibitinga;SP;250;225;0.068;3.792
f5a590cf36251cf1162ea35bef76fe84;sao bernardo do campo;SP;118;113;0.06779661016949153;4.279661016949152
4a3ccda38b2129705f3fb522db62ca31;marilia;SP;74;64;0.06756756756756757;3.810810810810811
de23c3b98a88888289c6f5cc1209054a;sao paulo;SP;178;161;0.06741573033707865;4.314606741573034
bd0389da23d89b726abf911cccc54596;brasilia;DF;90;87;0.06666666666666667;4.2
1025f0e2d44d7041d6cf58b6550e0bfa;sao paulo;SP;1434;910;0.06624825662482567;3.8677918424753868
f45122a9ab94eb4f3f8953578bc0c560;piracicaba;SP;197;184;0.06598984771573604;3.9238578680203045
e067ad2c1c0b48758eb1b5228bcf7a68;santos;SP;61;54;0.06557377049180328;4.131147540983607
aba1721a889e04decc910aa13b768ef4;sao paulo;SP;92;83;0.06521739130434782;4.456521739130435
d6b1ce66b035a475f00c017792ff9769;salto;SP;108;92;0.06481481481481481;4.165048543689321
1900267e848ceeba8fa32d80c1a5f5a8;ibitinga;SP;526;406;0.06463878326996197;3.8783783783783785
7e3f87d16fb353f408d467e74fbd8014;sao paulo;SP;93;91;0.06451612903225806;4.161290322580645
8a130737016f838139d31878787a39c9;sao paulo;SP;62;56;0.06451612903225806;4.354838709677419
955fee9216a65b617aa5c0531780ce60;sao paulo;SP;1474;1261;0.06445047489823609;4.08948087431694
f80edd2c5aaa505cc4b0a3b219abf4b8;sao paulo;SP;125;116;0.064;4.137096774193548
da8622b14eb17ae2831f4ac5b9dab84a;piracicaba;SP;1571;1311;0.06365372374283895;4.075399361022364
00ee68308b45bc5e2660cd833c3f81cc;sao paulo;SP;173;135;0.06358381502890173;4.3313953488372094
ccc4bbb5f32a6ab2b7066a4130f114e3;curitiba;PR;189;184;0.06349206349206349;4.319148936170213
6d66611d7c44cc30ce351abc49a68421;sao paulo;SP;174;164;0.06321839080459771;3.9302325581395348
4371b634e0efc0e22b09b52907d9d469;sao paulo;SP;111;101;0.06306306306306306;4.4363636363636365
0be8ff43f22e456b4e0371b2245e4d01;sao paulo;SP;175;156;0.06285714285714286;3.9657142857142857
b2ba3715d723d245138f291a6fe42594;sao paulo;SP;350;324;0.06285714285714286;4.204610951008646
d05ae8f7a5bd1d2a690a44cd079e4e27;rio de janeiro;RJ;80;77;0.0625;3.8227848101265822
3be634553519fb6536a03e1358e9fdc7;sao paulo;SP;96;80;0.0625;4.0
96493fab2fbb13a14d0c0e8772eef5c3;sao paulo;SP;64;63;0.0625;4.031746031746032
e9779976487b77c6d4ac45f75ec7afe9;praia grande;SP;739;645;0.06224627875507442;4.205163043478261
70eea00b476a314817cefde4aad4f89a;itatiba;SP;113;106;0.061946902654867256;4.383928571428571
f4aba7c0bca51484c30ab7bdc34bcdd1;sao paulo;SP;115;108;0.06086956521739131;3.8956521739130436
7a241947449cc45dbfda4f9d0798d9d0;jacutinga;MG;66;56;0.06060606060606061;3.7846153846153845
834f3294fba9f932f56edc879193f925;araraquara;SP;66;66;0.06060606060606061;4.545454545454546
5b925e1d006e9476d738aa200751b73b;sao paulo;SP;66;63;0.06060606060606061;4.606060606060606
d1c281d3ae149232351cd8c8cc885f0d;ibitinga;SP;248;214;0.06048387096774194;3.8252032520325203
4c18691b6037662be2df78a765d98ab5;sao paulo;SP;67;63;0.05970149253731343;3.8358208955223883
2e1c9f22be269ef4643f826c9e650a52;sao paulo;SP;168;161;0.05952380952380952;4.2395209580838324
1bb2bdb95f4841f1bba2c0d2cd83d3c9;sao paulo;SP;84;79;0.05952380952380952;4.578313253012048
1554a68530182680ad5c8b042c3ab563;monte siao;MG;270;246;0.05925925925925926;4.272388059701493
5656537e588803a555b8eb41f07a944b;brasilia;DF;186;171;0.05913978494623656;3.8225806451612905
25c5c91f63607446a97b143d2d535d31;itauna;MG;271;156;0.05904059040590406;3.7185185185185183
7ea5bfa6c340f58f8e71fc1f0412b0d6;belo horizonte;MG;102;96;0.058823529411764705;4.138613861386139
6d803cb79cc31c41c4c789a75933b3c7;sao joaquim da barra;SP;68;58;0.058823529411764705;4.279411764705882
4b9750c8ad28220fe6702d4ecb7c898f;limeira;SP;221;217;0.058823529411764705;4.352941176470588
8a32e327fe2c1b3511609d81aaf9f042;sao paulo;SP;171;126;0.05847953216374269;3.9467455621301775
951e8cef368f09bb3f3d03c00ca4702c;ibitinga;SP;69;62;0.057971014492753624;4.164179104477612
827f8f69dfa529c561901c4f2e0f332f;curitiba;PR;105;91;0.05714285714285714;4.252427184466019
8d956fec2e4337affcb520f56fd8cbfd;sao bernardo do campo;SP;228;210;0.05701754385964912;4.206140350877193
3c7c4a49ec3c6550809089c6a2ca9370;sao paulo;SP;159;139;0.05660377358490566;3.7169811320754715
2a7dc43cecabf23403078e2188437d1d;sao paulo;SP;54;52;0.05555555555555555;4.092592592592593
59fb871bf6f4522a87ba567b42dafecf;sao paulo;SP;126;123;0.05555555555555555;4.261904761904762
46dc3b2cc0980fb8ec44634e21d2718e;rio de janeiro;RJ;524;504;0.05534351145038168;4.25725338491296
5f2684dab12e59f83bef73ae57724e45;sao paulo;SP;73;67;0.0547945205479452;3.7534246575342465
4992e76a42cb3aad7a7047e0d3d7e729;sao paulo;SP;73;56;0.0547945205479452;3.8767123287671232
